"","mes","precipitacion_total"
"1",2023-08-01,16.8
"2",2023-09-01,3.6
"3",2023-10-01,57.7
"4",2023-11-01,56.7
"5",2023-12-01,169.2
"6",2024-01-01,103.7
"7",2024-02-01,250.5
"8",2024-03-01,60.7
"9",2024-04-01,113.5
"10",2024-05-01,38.9
"11",2024-07-01,4.6
"12",2024-08-01,3.3
"13",2024-09-01,7.1
"14",2024-10-01,12.2
"15",2024-11-01,22.1
"16",2024-12-01,163.1
"17",2025-01-01,120
"18",2025-02-01,109.5
"19",2025-03-01,213.2
"20",2025-04-01,60.9
"21",2025-05-01,46.3
"22",2025-06-01,19.6
"23",2025-07-01,18.8
"24",2025-08-01,9.4
"25",2025-09-01,13.8
"26",2025-10-01,55.9
